Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0350021H;Collège François Brune;COLLEGE;FRANCOIS BRUNE;Public;21 RUE DU MONT ST MICHEL;;;35610;PLEINE FOUGERES;Pleine-Fougères;363188.5;6835794.9;EPSG:2154;48.53474735841283;-1.564719784063516;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35222;Ille-et-Vilaine;Bretagne;Rennes;48.53474735841283, -1.564719784063516;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350760L;Collège Cleunay;COLLEGE;CLEUNAY;Public;26 rue ANDREE RECIPON;;;35000;RENNES;Rennes;349648.7;6788054.9;EPSG:2154;48.098814254968495;-1.709250420726049;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.098814254968495, -1.709250420726049;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-04-01
0350770X;Collège privé Sainte Marie;COLLEGE PRIVE;STE MARIE;Privé;8 BOULEVARD DE LA CHESNARDIERE;;20464;35304;FOUGERES CEDEX;Fougères;389253.2;6813646.0;EPSG:2154;48.348796343496964;-1.1962296673217507;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35115;Ille-et-Vilaine;Bretagne;Rennes;48.348796343496964, -1.1962296673217507;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350780H;Collège privé Immaculée;COLLEGE PRIVE;IMMACULEE;Privé;2 rue Antoine de Saint-Exupéry;;96214;35762;ST GREGOIRE CEDEX;Saint-Grégoire;352552.6;6794685.8;EPSG:2154;48.159927985198166;-1.675580497757275;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35278;Ille-et-Vilaine;Bretagne;Rennes;48.159927985198166, -1.675580497757275;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350836U;Collège privé Saint-Martin quartier Sainte Geneviève;COLLEGE PRIVE;ST MARTIN QUARTIER STE GENEVIEVE;Privé;14 D rue GINGUENE;;;35044;RENNES CEDEX;Rennes;351418.1;6787976.4;EPSG:2154;48.099055736554845;-1.6854604057056215;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.099055736554845, -1.6854604057056215;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350853M;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;4 RUE DU HOCK;;4 BIS;35260;CANCALE;Cancale;343144.9;6852558.5;EPSG:2154;48.67452938898222;-1.849639975899824;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35049;Ille-et-Vilaine;Bretagne;Rennes;48.67452938898222, -1.849639975899824;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350863Y;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;6 rue JEAN DE LA MENNAIS;;73091;35130;LA GUERCHE DE BRETAGNE;La Guerche-de-Bretagne;384645.8;6768480.4;EPSG:2154;47.94075348952326;-1.225719943719011;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35125;Ille-et-Vilaine;Bretagne;Rennes;47.94075348952326, -1.225719943719011;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350870F;Collège privé La Providence;COLLEGE PRIVE;LA PROVIDENCE;Privé;21 rue DE RENNES;;36007;35360;MONTAUBAN DE BRETAGNE;Montauban-de-Bretagne;325409.0;6800667.1;EPSG:2154;48.19862222136569;-2.045029640651294;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35184;Ille-et-Vilaine;Bretagne;Rennes;48.19862222136569, -2.045029640651294;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350874K;Collège privé Saint Yves;COLLEGE PRIVE;ST YVES;Privé;3 rue Jeanne d'Arc;;22;35310;MORDELLES;Mordelles;338875.5;6785922.6;EPSG:2154;48.073796023393825;-1.8519406433123715;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35196;Ille-et-Vilaine;Bretagne;Rennes;48.073796023393825, -1.8519406433123715;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350877N;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;12 RUE CASIMIR PIGEON;;;35610;PLEINE FOUGERES;Pleine-Fougères;363071.0;6835898.3;EPSG:2154;48.53561487544822;-1.5663896338484005;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35222;Ille-et-Vilaine;Bretagne;Rennes;48.53561487544822, -1.5663896338484005;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350878P;Collège privé de L'Hermine;COLLEGE PRIVE;DE L'HERMINE;Privé;22 rue DE L'HERMINE;;2;35380;PLELAN LE GRAND;Plélan-le-Grand;320062.3;6778808.5;EPSG:2154;47.999244604121536;-2.097860534769451;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35223;Ille-et-Vilaine;Bretagne;Rennes;47.999244604121536, -2.097860534769451;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350883V;Collège privé Jeanne d'Arc;COLLEGE PRIVE;JEANNE D'ARC;Privé;26 rue DE FOUGERES;;37;35460;MAEN ROCH;Maen Roch;377214.5;6821074.0;EPSG:2154;48.40965812659731;-1.3640102532592797;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35257;Ille-et-Vilaine;Bretagne;Rennes;48.40965812659731, -1.3640102532592797;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
