code_region;libelle_region;code_academie;libelle_academie;code_departement;libelle_departement;code_postal;code_insee;libelle_commune;lieu_dit;Type_et_Libelle;No_de_voie_debut;Indice_de_repetition_debut;No_de_voie_fin;Indice_de_repetition_fin;Parite;Code_RNE;Secteur_unique
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35168;Val d'Anast;;;;;;;;0350017D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35172;Meillac;;;;;;;;0350707D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35173;Melesse;;;;;;;;0352183H;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35179;Miniac-Morvan;;;;;;;;0350708E;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35181;Le Minihic-sur-Rance;;;;;;;;0351795L;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35188;Montfort-sur-Meu;;;;;;;;0351791G;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35191;Les Portes du Coglais;;;;;;;;0350040D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35193;Montreuil-le-Gast;;;;;;;;0352183H;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35201;Muel;;;;;;;;0351850W;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35206;Noyal-Châtillon-sur-Seiche;;;;;;;;0351852Y;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35211;Paimpont;;;;;;;;0350017D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35217;Le Pertre;;;;;;;;0352008T;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35219;Pipriac;;;;;;;;0350017D;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35225;Plesder;;;;;;;;0350051R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35227;Pleumeleuc;;;;;;;;0350057X;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35233;Québriac;;;;;;;;0350051R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35235;Rannée;;;;;;;;0351799R;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35237;Renac;;;;;;;;0351969A;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35237;Renac;;;;;;;;0350969N;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE ADOLPHE BOBIERRE;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE ADOLPHE ORAIN;2;;9999;;P;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE AUGUSTE LOUIS JOBBE DUVAL;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE AUGUSTE RODIN;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE BEETHOVEN;1;;9999;;PI;0350965J;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU BIEZ JEAN;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE BISSON;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE CESAR FRANCK;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE CHARLES COLLIN;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE CHARLES D ESPINAY;2;;9999;;P;0350963G;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE CHARLES VANEL;2;;9999;;P;0350965J;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE D ARZANO;1;;9999;;PI;0350913C;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DE BINIC;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE DE CRACOVIE;1;;9999;;PI;0350963G;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DE LA GARAYE;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DE LOCRONAN;1;;9999;;PI;0350913C;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE DE MALMOE;1;;9999;;PI;0350734H;N
