Annee_scolaire;Academie;Numero_d_etablissement;nom_etablissement;Type_d_etablissement;Secteur_d_enseignement;Nombre_d_eleves;libelle_region;libelle_departement;Code_departement;adresse;code_postal;localite_acheminement;Code_region
2016-2017;RENNES;0350052S;COLLEGE PIERRE PERRIN;COLLEGE;Public;205;BRETAGNE;ILLE-ET-VILAINE;035;7  RUE DE LA LIBERATION;35460;TREMBLAY;53
2016-2017;RENNES;0350062C;LYCEE PROFESSIONNEL MAUPERTUIS;LYCEE PROFESSIONNEL;Public;240;BRETAGNE;ILLE-ET-VILAINE;035;RUE PIERRE DE COUBERTIN;35407;ST MALO CEDEX;53
2016-2017;RENNES;0350747X;ETAB.REGIONAL ENSEIGNT ADAPTE PUBLIC;ETABLISSEMENT REGIONAL D'ENSEIGNT ADAPTE;Public;101;BRETAGNE;ILLE-ET-VILAINE;035;26  AVENUE DU CANADA;35009;RENNES CEDEX;53
2016-2017;RENNES;0350760L;COLLEGE CLEUNAY;COLLEGE;Public;378;BRETAGNE;ILLE-ET-VILAINE;035;26 rue ANDREE RECIPON;35000;RENNES;53
2016-2017;RENNES;0350767U;COLLEGE PRIVE ST MAGLOIRE;COLLEGE;Privé;594;BRETAGNE;ILLE-ET-VILAINE;035;2  RUE DU CHANOINE BOURSIER;35120;DOL DE BRETAGNE;53
2016-2017;RENNES;0350770X;COLLEGE PRIVE STE MARIE;COLLEGE;Privé;920;BRETAGNE;ILLE-ET-VILAINE;035;8 BOULEVARD DE LA CHESNARDIERE;35304;FOUGERES CEDEX;53
2016-2017;RENNES;0350773A;COLLEGE PRIVE STE JEANNE D'ARC-CHOISY;COLLEGE;Privé;540;BRETAGNE;ILLE-ET-VILAINE;035;3 avenue DE LA BORDERIE;35404;ST MALO CEDEX;53
2016-2017;RENNES;0350781J;COLLEGE PRIVE NOTRE DAME DU VIEUX COURS;COLLEGE;Privé;427;BRETAGNE;ILLE-ET-VILAINE;035;19  BOULEVARD DE LA LIBERTE;35000;RENNES;53
2016-2017;RENNES;0350793X;LYCEE POLYVALENT PRIVE ST ETIENNE;LYCEE POLYVALENT;Privé;823;BRETAGNE;ILLE-ET-VILAINE;035;99 rue DE LA CHALOTAIS;35512;CESSON SEVIGNE CEDEX;53
2016-2017;RENNES;0350795Z;LYC POLYVAL PRIVE des METIERS DE LA SALLE;LYCEE POLYVALENT;Privé;1078;BRETAGNE;ILLE-ET-VILAINE;035;5  RUE DE LA MOTTE BRULON;35706;RENNES CEDEX 7;53
