Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro du collège;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre d'élèves total (nombre d'élèves dans les formations du 1er cycle du 2nd degré et non du nombre total d'élèves inscrits dans l'établissement, les DIMA et les dispositifs-relais sont exclus);Nombre d'élèves total hors Segpa hors ULIS;Nombre d'élèves total Segpa;Nombre d'élèves total ULIS;Nombre total de 6èmes;Nombre de 6èmes hors Segpa hors ULIS;Nombre de 6èmes Segpa;Nombre de 6èmes ULIS;Nombre de 6èmes filles;Nombre de 6èmes garçons;Nombre de 6èmes LV1 allemand;Nombre de 6èmes LV1 anglais;Nombre de 6èmes LV1 espagnol;Nombre de 6èmes LV1 autres langues;Nombre de 6èmes LV2 allemand;Nombre de 6èmes LV2 anglais;Nombre de 6èmes LV2 espagnol;Nombre de 6èmes LV2 italien;Nombre de 6èmes LV2 autres langues;Nombre total de 5èmes;Nombre de 5èmes hors Segpa hors ULIS;Nombre de 5èmes Segpa;Nombre de 5èmes ULIS;Nombre de 5èmes filles;Nombre de 5èmes garçons;Nombre de 5èmes LV1 allemand;Nombre de 5èmes LV1 anglais;Nombre de 5èmes LV1 espagnol;Nombre de 5èmes LV1 autres langues;Nombre de 5èmes LV2 allemand;Nombre de 5èmes LV2 anglais;Nombre de 5èmes LV2 espagnol;Nombre de 5èmes LV2 italien;Nombre de 5èmes LV2 autres langues;Nombre total de 4èmes;Nombre de 4èmes hors Segpa hors ULIS;Nombre de 4èmes Segpa;Nombre de 4èmes ULIS;Nombre de 4èmes filles;Nombre de 4èmes garçons;Nombre de 4èmes LV1 allemand;Nombre de 4èmes LV1 anglais;Nombre de 4èmes LV1 espagnol;Nombre de 4èmes LV1 autres langues;Nombre de 4èmes LV2 allemand;Nombre de 4èmes LV2 anglais;Nombre de 4èmes LV2 espagnol;Nombre de 4èmes LV2 italien;Nombre de 4èmes LV2 autres langues;Nombre total de 3èmes;Nombre de 3èmes hors Segpa hors ULIS;Nombre de 3èmes Segpa;Nombre de 3èmes ULIS;Nombre de 3èmes filles;Nombre de 3èmes garçons;Nombre de 3èmes LV1 allemand;Nombre de 3èmes LV1 anglais;Nombre de 3èmes LV1 espagnol;Nombre de 3èmes LV1 autres langues;Nombre de 3èmes LV2 allemand;Nombre de 3èmes LV2 anglais;Nombre de 3èmes LV2 espagnol;Nombre de 3èmes LV2 italien;Nombre de 3èmes LV2 autres langues
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;REDON;0351969A;COLLEGE;BEAUMONT;PUBLIC;0;0;561;549;0;12;139;137;0;2;72;67;0;96;43;0;0;43;0;0;0;138;135;0;3;59;79;0;111;27;0;10;27;98;0;0;148;144;0;4;71;77;0;123;25;0;21;25;98;0;0;136;133;0;3;65;71;0;114;22;0;25;22;86;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;RENNES;0350027P;COLLEGE;LES GAYEULLES;PUBLIC;0;0;618;606;0;12;127;127;0;0;60;67;0;126;0;0;24;0;0;13;20;152;149;0;3;80;72;0;152;0;0;20;0;92;35;0;175;170;0;5;86;89;0;174;0;0;20;0;111;38;0;164;160;0;4;84;80;0;163;0;0;24;0;89;38;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;RENNES;0350031U;LP LYCEE DES METIERS;JEAN JAURES;PUBLIC;0;0;30;30;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;3;27;0;24;0;0;0;0;24;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;RENNES;0350835T;COLLEGE PRIVE;LA TOUR D'AUVERGNE LA SALLE;PRIVE;0;0;424;412;0;12;107;106;0;1;54;53;0;107;0;0;0;0;0;0;22;110;107;0;3;56;54;0;110;0;0;11;0;96;0;0;107;99;0;8;64;43;0;107;0;0;12;0;87;0;0;100;100;0;0;57;43;0;100;0;0;16;0;84;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;RENNES;0350963G;COLLEGE;DES HAUTES OURMES;PUBLIC;0;1;598;535;63;0;156;140;16;0;75;81;0;140;0;0;22;0;0;0;0;178;162;16;0;82;96;0;162;0;0;53;0;109;0;0;149;134;15;0;74;75;0;134;0;0;32;0;101;0;0;115;99;16;0;65;50;0;99;0;0;15;0;80;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;RENNES;0351796M;COLLEGE;EMILE ZOLA;PUBLIC;0;0;565;565;0;0;142;142;0;0;72;70;0;126;0;16;0;16;0;0;0;146;146;0;0;70;76;0;118;0;28;9;28;86;7;16;136;136;0;0;75;61;0;118;0;10;13;18;79;16;10;141;141;0;0;71;70;0;117;0;10;13;24;83;11;10
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;RENNES;0352069J;COLLEGE PRIVE;ST VINCENT-PROVIDENCE;PRIVE;0;0;831;745;86;0;184;167;17;0;90;94;0;167;0;0;0;0;0;0;0;206;183;23;0;97;109;0;183;0;0;24;0;126;14;19;211;187;24;0;100;111;0;187;0;22;22;0;124;19;22;230;208;22;0;101;129;0;208;0;16;33;0;139;20;16
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-GEORGES-DE-REINTEMBAULT;0350885X;COLLEGE PRIVE;JULIEN MAUNOIR;PRIVE;0;0;149;149;0;0;33;33;0;0;13;20;0;33;0;0;0;0;0;0;0;45;45;0;0;23;22;0;45;0;0;13;0;32;0;0;35;35;0;0;8;27;0;35;0;0;12;0;23;0;0;36;36;0;0;28;8;0;36;0;0;8;0;28;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-JACQUES-DE-LA-LANDE;0352589Z;COLLEGE;JEAN MOULIN;PUBLIC;0;0;410;398;0;12;92;88;0;4;55;37;0;92;0;0;17;0;0;0;0;110;105;0;5;56;54;0;110;0;0;14;0;96;0;0;110;108;0;2;53;57;0;110;0;0;23;0;87;0;0;98;97;0;1;52;46;0;98;0;0;14;0;83;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-MALO;0350785N;COLLEGE PRIVE;MOKA STE FAMILLE;PRIVE;0;0;421;421;0;0;109;109;0;0;54;55;0;109;0;0;0;0;0;0;0;108;108;0;0;45;63;0;108;0;0;10;0;98;0;0;101;101;0;0;54;47;0;101;0;0;17;0;84;0;0;103;103;0;0;47;56;0;103;0;0;13;0;90;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-MALO;0352072M;LYC POLYVAL PRIVE;INSTITUTION ST MALO-PROVIDENCE;PRIVE;0;0;21;21;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;0;0;7;14;0;21;0;0;0;0;21;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;VITRE;0350892E;COLLEGE PRIVE;STE JEANNE D'ARC;PRIVE;0;0;407;395;0;12;113;109;0;4;56;57;0;109;0;0;0;0;0;0;0;101;99;0;2;43;58;0;99;0;0;12;0;87;0;0;100;97;0;3;36;64;0;97;0;0;17;0;80;0;0;93;90;0;3;46;47;0;91;0;0;13;0;77;0;0
2021;BRETAGNE;RENNES;ILLE-ET-VILAINE;ARGENTRE-DU-PLESSIS;0350849H;COLLEGE PRIVE;LA SALLE ST JOSEPH;PRIVE;0;0;594;594;0;0;148;148;0;0;64;84;0;148;0;0;0;0;0;0;0;154;154;0;0;70;84;0;154;0;0;31;0;123;0;0;139;139;0;0;73;66;0;139;0;0;20;0;119;0;0;153;153;0;0;73;80;0;153;0;0;45;0;108;0;0
